Company Name,Price,%Change
3M India,"25,254.55",-0.71
Aarti Drugs,625.30,3.12
Aarti Ind,"1,066.20",4.39
AAVAS Financier,"2,598.70",-0.29
AB Capital,110.90,-0.22
ABB India,"1,877.95",0.25
Abbott India,"23,184.50",0.33
ACC,"2,263.70",-0.09
Adani Enterpris,"1,527.65",0.07
Adani Ports,743.95,-0.03
Adani Power,106.50,4.67
Adani Total Gas,"1,416.10",0.44
Adani Trans,"1,717.80",5.00
Aditya Birla F,255.60,6.15
Advanced Enzyme,389.00,0.31
Aegis Logistics,230.15,0.39
AIA Engineering,"1,935.95",-0.24
Ajanta Pharma,"2,264.55",-1.60
Akzo Nobel,"2,266.20",0.60
Alembic Pharma,787.40,-0.92
Alkem Lab,"3,970.40",0.01
Alkyl Amines,"3,991.20",4.14
Allcargo,298.10,1.53
Alok Industries,24.45,1.45
Amara Raja Batt,765.50,-0.07
Amber Enterpris,"3,383.30",-0.34
Ambuja Cements,403.65,-0.70
APL Apollo,853.00,-2.21
Apollo Hospital,"4,482.40",-1.45
Apollo Tyres,225.25,-1.25
Ashok Leyland,132.25,1.85
Ashoka Buildcon,101.00,1.97
Asian Paints,"3,254.75",1.66
Aster DM Health,212.35,0.90
Astral Ltd,"2,365.35",0.48
AstraZeneca,"3,112.60",0.54
Atul,"9,909.35",-1.83
AU Small Financ,"1,213.00",1.98
Aurobindo Pharm,724.00,-1.11
Avanti Feeds,574.00,3.70
Avenue Supermar,"4,257.30",0
Axis Bank,782.60,0.46
Bajaj Auto,"3,864.00",0.99
Bajaj Consumer,255.25,-0.22
Bajaj Electric,"1,283.70",-2.81
Bajaj Finance,"7,724.20",0.38
Bajaj Finserv,"17,847.50",0.23
Bajaj Holdings,"4,836.60",-1.60
Balaji Amines,"4,687.50",-0.18
Balkrishna Ind,"2,537.20",0.65
Balmer Lawrie,131.60,1.86
Balrampur Chini,384.50,-2.10
Bandhan Bank,298.40,1.03
Bank of Baroda,83.35,-1.19
Bank of India,57.50,-0.52
Bank of Mah,20.55,1.99
BASF,"3,578.55",0.70
Bata India,"1,856.55",-0.66
Bayer CropScien,"5,211.20",-0.73
BEML,"1,453.20",1.69
Berger Paints,825.45,0.57
Bharat Dynamics,376.80,-0.29
Bharat Elec,205.85,0.02
Bharat Forge,722.90,-2.57
Bharti Airtel,699.25,2.62
BHEL,66.25,1.07
Biocon,362.00,-0.79
Birla Corp,"1,395.05",-0.20
Birlasoft,410.95,1.09
Bliss GVS,110.20,0.23
Blue Dart,"6,431.25",1.66
Blue Star,881.10,-0.64
Bombay Burmah,"1,177.25",0.87
Bosch,"15,473.40",-0.04
BPCL,443.85,1.84
Brigade Ent,442.30,3.57
Britannia,"3,882.20",-0.27
Cadila Health,563.95,0.32
Can Fin Homes,699.70,-1.52
Canara Bank,179.75,-1.29
Caplin Labs,904.80,1.89
Capri Global,530.85,-1.46
Carborundum,879.70,-1.54
Castrol,141.20,0.43
CCL Products,389.05,-0.44
Ceat,"1,339.90",0.31
Central Bank,22.70,1.11
Century,932.35,1.25
CenturyPlyboard,480.10,-0.43
Cera Sanitary,"5,304.70",1.09
CESC,93.00,0.92
CG Consumer,486.40,-0.22
Chalet Hotels,240.95,0.88
Chambal Fert,345.10,2.72
Chola Fin Hold,693.60,-0.01
Chola Invest.,558.75,-0.99
Cipla,934.55,-2.40
City Union Bank,158.00,-1.06
Coal India,197.95,4.21
Cochin Shipyard,361.45,0.26
COFORGE LTD.,"5,382.40",0.83
Colgate,"1,680.50",-0.13
Container Corp,709.10,0.28
Coromandel Int,827.05,3.27
CreditAccess Gr,665.90,3.07
CRISIL,"2,869.85",0.80
Cummins,899.85,0.73
Cyient,"1,054.70",-0.01
Dabur India,616.20,-1.28
Dalmia Bharat,"2,073.80",-2.57
DCB Bank,90.30,-0.28
DCM Shriram,"1,161.85",1.34
Deepak Fert,421.65,0.45
Deepak Nitrite,"2,670.55",3.03
Delta Corp,271.00,-1.76
Dhanuka Agritec,819.35,0.79
Dilip Buildcon,598.95,3.86
Dish TV,19.75,-2.23
Dishman Carboge,238.50,6.76
Divis Labs,"5,217.85",-0.05
Dixon Technolog,"4,830.50",-0.60
DLF,415.65,-2.06
Dr Lal PathLab,"3,775.10",0.33
Dr Reddys Labs,"5,034.60",-0.16
eClerx Services,"2,236.60",1.08
Edelweiss,79.95,-0.31
Eicher Motors,"2,760.10",0.52
EID Parry,438.40,0.61
EIH,132.00,1.07
Emami,566.55,0.27
Endurance Techn,"1,599.55",1.53
EngineersInd,77.65,-1.52
EPL,238.00,2.50
Equitas Holding,123.95,0.73
Esab India,"2,247.30",-0.30
Escorts,"1,488.80",-0.51
Exide Ind,181.00,0.58
FDC,357.75,2.82
Federal Bank,85.75,0.82
Fine Organics,"3,469.85",-0.95
Finolex Cables,501.30,1.77
Finolex Ind,224.65,-0.22
Firstsource Sol,194.00,-0.97
Force Motors,"1,482.20",1.19
Fortis Health,275.55,-1.66
Future Consumer,7.60,0.66
Future Retail,51.55,-0.58
GAIL,164.70,1.95
Galaxy Surfacta,"3,375.40",-1.36
Garden Reach Sh,197.70,3.53
Garware Technic,"3,407.45",1.28
Gateway Distri,255.30,1.03
GE Power India,305.25,1.18
GE Shipping,372.30,0.62
General Insuran,144.85,0.45
Gillette India,"5,841.55",-0.21
GlaxoSmithKline,"1,478.55",-1.32
Glenmark,519.80,0
GMM Pfaudler,"4,798.85",6.15
GMR Infra,40.55,-0.49
GNFC,498.90,11.15
Godfrey Phillip,"1,324.85",-2.17
Godrej Agrovet,626.55,-0.54
Godrej Consumer,"1,042.10",1.21
Godrej Ind,565.05,-0.11
Godrej Prop,"2,285.45",-2.23
Granules India,329.90,0.46
Graphite India,613.05,-0.90
Grasim,"1,627.00",-0.86
Greaves Cotton,138.65,0.95
Grindwell Norto,"1,445.25",-2.24
GSFC,145.75,8.40
Guj Alkali,806.15,8.08
Guj Heavy Chem,476.65,2.46
Guj Mineral,79.20,2.46
Guj State Petro,309.90,0.18
