domain,domain_id,email_counts
icloud.com,0,1
jmplating.com,1,1
wightman.ca,2,1
totalise.co.uk,3,1
telenet.be,4,1
hotmail.fr,5,1
wi.rr.com,6,2
live.it,7,1
bellatlantic.net,8,1
mail.ru,9,1
pccorp.com,10,1
yisum.com,11,1
teletech.com,12,1
netscape.net,13,1
juno.com,14,4
live.nl,15,1
webtv.com,16,1
albeda.nl,17,1
earthlink.com,18,1
aol.co.uk,19,1
fun-center.com,20,1
pelephone.co.il,21,1
yahoo.com.hk,22,2
webtv.net,23,1
mic-club-tournament.com,24,1
comcast.net,25,10
live.se,26,1
thisslut.com,27,1
earthlink.net,28,4
verizon.net,29,4
bellsouth.com,30,1
prodigy.net,31,1
getgds.com,32,1
yahoo.ca,33,1
bellsouth.net,34,8
iinet.net.au,35,1
privat.dk,36,1
gmx.de,37,3
centurylink.net,38,1
columbus.rr.com,39,1
radiodiego.nl,40,1
live.co.uk,41,2
me.com,42,2
ponytest.com,43,1
cs.its.ac.id,44,1
mathias-security.com,45,1
live.com,46,3
walla.com,47,2
ntlworld.com,48,1
googlemail.com,49,1
windstream.net,50,1
yahoo.dk,51,1
aol.de,52,1
yahoo.fr,53,2
skynet.be,54,2
iwon.com,55,2
themail.com,56,1
yahoo.co.uk,57,10
net-magic.net,58,1
gosselingroup.eu,59,1
sbcglobal.net,60,6
clearlythebest.com,61,1
bezeqint.net,62,1
optonline.net,63,5
pacbell.net,64,1
trimitra-baterai.co.id,65,1
swbell.net,66,1
bresnan.net,67,1
home.nl,68,1
topm.be,69,1
gte.net,70,1
tmail.com,71,1
web.de,72,3
worldnet.att.net,73,1
minspring.com,74,1
eircom.net,75,1
yahoo.co.in,76,4
btinternet.com,77,2
imagine.co.za,78,1
wisair.com,79,1
msn.com,80,21
netscape.com,81,1
gmail.com,82,206
ymail.com,83,3
ledico.com,84,1
rocketmail.com,85,3
actcom.co.il,86,1
libero.it,87,4
oceanparkinn.com,88,1
inwind.it,89,1
microsoft.com,90,1
attbi.com,91,1
bushindustries.com,92,1
bluewin.ch,93,1
hotmail.co.uk,94,19
yahoo.com.au,95,2
cardmonroe.com,96,1
aol.com,97,55
usa.com,98,1
hotmail.de,99,1
bigfoot.com,100,1
cfl.rr.com,101,2
peoplepc.com,102,1
netzero.com,103,2
hsbc.com.hk,104,1
adelphia.net,105,1
yahoo.de,106,1
wildblue.net,107,1
live.com.au,108,1
tin.it,109,1
hotmail.com,110,179
yahoo.com,111,234
att.net,112,5
yahoo.com.br,113,1
aim.com,114,5
mta.ac.il,115,1
tx.rr.com,116,1
yandex.ru,117,3
ufl.edu,118,1
tds.net,119,1
hotmail.it,120,3
yahoo.co.id,121,4
chevron.com,122,1
cox.net,123,4
ihug.co.nz,124,1
telkomsa.net,125,1
yahoo.it,126,1
mail.com,127,1
benneh.net,128,1
hetnet.nl,129,1
rediffmail.com,130,2
usana.com,131,1
